datetime,latitude,longitude,value
1/01/2015,-43.1,146.6,65.45680823
1/01/2015,-42.4,147.4,62.20811155
1/01/2015,-41.6,147.4,65.73798324
1/01/2015,-40.9,145.9,71.61554508
1/01/2015,-40.1,145.1,77.45593824
1/01/2015,-38.6,142.9,85.24815483
1/01/2015,-37.9,145.1,79.37046037
1/01/2015,-37.1,139.9,45.65559426
1/01/2015,-37.1,142.1,42.82414617
1/01/2015,-36.4,142.9,37.35369569
1/01/2015,-35.6,144.4,31.57085411
1/01/2015,-34.9,148.1,56.63834256
1/01/2015,-34.1,138.4,28.38457382
1/01/2015,-34.1,150.4,80.3452831
1/01/2015,-33.4,151.1,90.28667418
1/01/2015,-32.6,150.4,75.53552128
1/01/2015,-31.9,115.9,52.16020294
1/01/2015,-31.1,115.1,72.21014262
1/01/2015,-30.4,121.1,36.3046221
1/01/2015,-30.4,122.6,45.17790588
1/01/2015,-29.6,123.4,37.83807408
1/01/2015,-28.9,149.6,53.7037047
1/01/2015,-28.1,121.1,13.91478821
1/01/2015,-27.4,141.4,30.49130225
1/01/2015,-27.4,151.1,74.58748491
1/01/2015,-27.4,153.4,80.65550668
1/01/2015,-26.6,121.1,14.95629
1/01/2015,-25.9,112.9,83.93321736
1/01/2015,-25.9,128.6,16.88865608
1/01/2015,-25.9,151.1,81.98624489
1/01/2015,-25.1,151.9,84.14378645
1/01/2015,-25.1,152.6,80.53381748
1/01/2015,-24.4,122.6,23.05051031
1/01/2015,-24.4,125.6,23.94082433
1/01/2015,-24.4,136.9,12.69516131
1/01/2015,-23.6,148.1,65.78622508
1/01/2015,-22.9,113.6,59.14331464
1/01/2015,-22.9,114.4,47.10947566
1/01/2015,-22.9,124.9,26.10820938
1/01/2015,-22.9,149.6,73.70495154
1/01/2015,-22.1,119.6,28.30090416
1/01/2015,-22.1,147.4,67.01132239
1/01/2015,-22.1,148.9,75.77758502
1/01/2015,-21.4,115.9,29.04623977
1/01/2015,-21.4,117.4,27.17712603
1/01/2015,-21.4,118.9,37.90387821
1/01/2015,-21.4,130.1,27.79521737
1/01/2015,-21.4,130.9,29.14612546
1/01/2015,-21.4,146.6,63.86498568
1/01/2015,-20.6,118.1,46.1925818
1/01/2015,-20.6,127.1,32.31381925
1/01/2015,-20.6,129.4,29.37118591
1/01/2015,-20.6,139.1,40.82811176
1/01/2015,-20.6,145.9,66.76093671
1/01/2015,-20.6,148.1,80.8235985
1/01/2015,-19.9,116.6,70.13263563
1/01/2015,-19.9,120.4,49.04990256
1/01/2015,-19.9,131.6,39.57526424
1/01/2015,-19.9,148.1,81.11209971
1/01/2015,-19.1,126.4,51.58162301
1/01/2015,-19.1,133.9,47.52140436
1/01/2015,-19.1,134.6,39.29221881
1/01/2015,-18.4,121.9,77.84314625
1/01/2015,-18.4,123.4,69.92724063
1/01/2015,-18.4,124.1,47.87558491
1/01/2015,-18.4,127.9,74.28435642
1/01/2015,-18.4,132.4,65.57423209
1/01/2015,-18.4,133.1,64.30558162
1/01/2015,-18.4,137.6,56.33252954
1/01/2015,-18.4,140.6,83.95851193
1/01/2015,-17.6,122.6,83.18207444
1/01/2015,-16.9,145.1,94.71899529
1/01/2015,-16.1,145.1,82.93369474
1/01/2015,-15.4,136.1,87.27943818
1/01/2015,-15.4,142.9,73.52364782
1/01/2015,-13.9,143.6,66.50062079
1/01/2015,-13.1,135.4,84.12881294
1/01/2015,-13.1,142.9,67.4308709
1/01/2015,-12.4,130.9,92.76759702
1/01/2015,-11.6,142.1,69.33238034
1/01/2015,-10.9,131.6,86.02515644
1/01/2015,-10.1,142.1,81.71192609
2/01/2015,-43.1,146.6,67.75194805
2/01/2015,-42.4,147.4,59.49173557
2/01/2015,-41.6,147.4,60.09022843
2/01/2015,-40.9,145.9,65.97465025
2/01/2015,-40.1,145.1,73.0922633
2/01/2015,-38.6,142.9,58.60251417
2/01/2015,-37.9,145.1,32.551405
2/01/2015,-37.1,139.9,36.98388153
2/01/2015,-37.1,142.1,16.90925304
2/01/2015,-36.4,142.9,18.63051001
2/01/2015,-35.6,144.4,20.56476832
2/01/2015,-34.9,148.1,56.89506777
2/01/2015,-34.1,138.4,21.94588174
2/01/2015,-34.1,150.4,83.60304273
2/01/2015,-33.4,151.1,90.65336541
2/01/2015,-32.6,150.4,78.93436469
2/01/2015,-31.9,115.9,56.04877176
2/01/2015,-31.1,115.1,70.42879109
2/01/2015,-30.4,121.1,42.99314233
2/01/2015,-30.4,122.6,48.40587508
2/01/2015,-29.6,123.4,42.10406005
2/01/2015,-28.9,149.6,64.82857433
2/01/2015,-28.1,121.1,27.7918759
2/01/2015,-27.4,141.4,42.89749866
2/01/2015,-27.4,151.1,79.46935914
2/01/2015,-27.4,153.4,77.44527305
2/01/2015,-26.6,121.1,19.96636228
2/01/2015,-25.9,112.9,79.32513954
2/01/2015,-25.9,128.6,20.3970624
2/01/2015,-25.9,151.1,83.38030448
2/01/2015,-25.1,151.9,74.69095128
2/01/2015,-25.1,152.6,73.17592108
2/01/2015,-24.4,122.6,21.28345121
2/01/2015,-24.4,125.6,21.31062458
2/01/2015,-24.4,136.9,19.43132323
2/01/2015,-23.6,148.1,68.11678754
