datetime,latitude,longitude,value
1/01/2015,-43.1,146.6,167.7832059
1/01/2015,-42.4,147.4,117.7073629
1/01/2015,-41.6,147.4,100.7842096
1/01/2015,-40.9,145.9,146.6862288
1/01/2015,-40.1,145.1,154.5245639
1/01/2015,-38.6,142.9,101.2216915
1/01/2015,-37.9,145.1,112.6451529
1/01/2015,-37.1,139.9,104.0568807
1/01/2015,-37.1,142.1,82.42672597
1/01/2015,-36.4,142.9,88.84082409
1/01/2015,-35.6,144.4,112.6175394
1/01/2015,-34.9,148.1,130.4928754
1/01/2015,-34.1,138.4,61.03011101
1/01/2015,-34.1,150.4,137.8384146
1/01/2015,-33.4,151.1,105.8495593
1/01/2015,-32.6,150.4,142.0837642
1/01/2015,-31.9,115.9,194.3365016
1/01/2015,-31.1,115.1,190.0100176
1/01/2015,-30.4,121.1,126.7352432
1/01/2015,-30.4,122.6,123.9133441
1/01/2015,-29.6,123.4,126.1056639
1/01/2015,-28.9,149.6,39.24536582
1/01/2015,-28.1,121.1,149.1048891
1/01/2015,-27.4,141.4,40.05839646
1/01/2015,-27.4,151.1,55.39204615
1/01/2015,-27.4,153.4,51.07628584
1/01/2015,-26.6,121.1,194.6595351
1/01/2015,-25.9,112.9,190.6582754
1/01/2015,-25.9,128.6,287.3716578
1/01/2015,-25.9,151.1,74.04359418
1/01/2015,-25.1,151.9,89.59265086
1/01/2015,-25.1,152.6,90.80264907
1/01/2015,-24.4,122.6,39.90916914
1/01/2015,-24.4,125.6,147.0964964
1/01/2015,-24.4,136.9,169.9383591
1/01/2015,-23.6,148.1,78.54192275
1/01/2015,-22.9,113.6,205.6112324
1/01/2015,-22.9,114.4,209.7491769
1/01/2015,-22.9,124.9,124.6770335
1/01/2015,-22.9,149.6,95.45316961
1/01/2015,-22.1,119.6,248.8506149
1/01/2015,-22.1,147.4,82.49932458
1/01/2015,-22.1,148.9,93.13491697
1/01/2015,-21.4,115.9,214.3760712
1/01/2015,-21.4,117.4,269.7696964
1/01/2015,-21.4,118.9,319.404221
1/01/2015,-21.4,130.1,22.72064113
1/01/2015,-21.4,130.9,54.20030909
1/01/2015,-21.4,146.6,75.98992361
1/01/2015,-20.6,118.1,304.6462706
1/01/2015,-20.6,127.1,37.61386721
1/01/2015,-20.6,129.4,29.53658468
1/01/2015,-20.6,139.1,129.5176634
1/01/2015,-20.6,145.9,68.77659766
1/01/2015,-20.6,148.1,100.79701
1/01/2015,-19.9,116.6,260.486159
1/01/2015,-19.9,120.4,310.4038154
1/01/2015,-19.9,131.6,35.04423312
1/01/2015,-19.9,148.1,105.2777506
1/01/2015,-19.1,126.4,59.35081405
1/01/2015,-19.1,133.9,147.2283878
1/01/2015,-19.1,134.6,169.6799344
1/01/2015,-18.4,121.9,251.8917061
1/01/2015,-18.4,123.4,131.5511207
1/01/2015,-18.4,124.1,75.37176354
1/01/2015,-18.4,127.9,59.75183834
1/01/2015,-18.4,132.4,76.47807868
1/01/2015,-18.4,133.1,168.3013125
1/01/2015,-18.4,137.6,41.39671276
1/01/2015,-18.4,140.6,36.26036632
1/01/2015,-17.6,122.6,177.005565
1/01/2015,-16.9,145.1,108.5313494
1/01/2015,-16.1,145.1,106.8776235
1/01/2015,-15.4,136.1,156.1317189
1/01/2015,-15.4,142.9,89.28734671
1/01/2015,-13.9,143.6,83.90353749
1/01/2015,-13.1,135.4,332.5048267
1/01/2015,-13.1,142.9,76.08779791
1/01/2015,-12.4,130.9,151.542389
1/01/2015,-11.6,142.1,59.72784356
1/01/2015,-10.9,131.6,264.3155054
1/01/2015,-10.1,142.1,228.4613567
2/01/2015,-43.1,146.6,173.4550025
2/01/2015,-42.4,147.4,189.7821471
2/01/2015,-41.6,147.4,189.0822701
2/01/2015,-40.9,145.9,123.9341633
2/01/2015,-40.1,145.1,158.8931657
2/01/2015,-38.6,142.9,199.754261
2/01/2015,-37.9,145.1,104.596187
2/01/2015,-37.1,139.9,220.5318453
2/01/2015,-37.1,142.1,185.9461326
2/01/2015,-36.4,142.9,149.8932724
2/01/2015,-35.6,144.4,79.59581692
2/01/2015,-34.9,148.1,81.84557187
2/01/2015,-34.1,138.4,194.6451788
2/01/2015,-34.1,150.4,39.88628449
2/01/2015,-33.4,151.1,53.89765181
2/01/2015,-32.6,150.4,78.05356897
2/01/2015,-31.9,115.9,174.4405861
2/01/2015,-31.1,115.1,172.0035468
2/01/2015,-30.4,121.1,152.3468586
2/01/2015,-30.4,122.6,136.49237
2/01/2015,-29.6,123.4,165.5656487
2/01/2015,-28.9,149.6,72.48688474
2/01/2015,-28.1,121.1,208.9187698
2/01/2015,-27.4,141.4,44.70616461
2/01/2015,-27.4,151.1,71.36777327
2/01/2015,-27.4,153.4,70.79308732
2/01/2015,-26.6,121.1,240.8559308
2/01/2015,-25.9,112.9,174.7475646
2/01/2015,-25.9,128.6,315.4008295
2/01/2015,-25.9,151.1,77.41855013
2/01/2015,-25.1,151.9,87.16353521
2/01/2015,-25.1,152.6,91.06274348
2/01/2015,-24.4,122.6,305.626019
2/01/2015,-24.4,125.6,131.5307407
2/01/2015,-24.4,136.9,152.6587811
2/01/2015,-23.6,148.1,78.6605387
2/01/2015,-22.9,113.6,197.3872877
2/01/2015,-22.9,114.4,202.7812672
2/01/2015,-22.9,124.9,94.94303795
2/01/2015,-22.9,149.6,89.61506626
2/01/2015,-22.1,119.6,214.0716054
2/01/2015,-22.1,147.4,84.22571698
2/01/2015,-22.1,148.9,88.89088729
2/01/2015,-21.4,115.9,216.4427436
2/01/2015,-21.4,117.4,205.6961775
2/01/2015,-21.4,118.9,191.4671127
2/01/2015,-21.4,130.1,33.15534523
2/01/2015,-21.4,130.9,29.62795938
2/01/2015,-21.4,146.6,80.03535425
2/01/2015,-20.6,118.1,177.339961
2/01/2015,-20.6,127.1,54.13174843
2/01/2015,-20.6,129.4,43.25480189
2/01/2015,-20.6,139.1,94.1144209
2/01/2015,-20.6,145.9,72.35067712
2/01/2015,-20.6,148.1,94.3654998
2/01/2015,-19.9,116.6,248.1094709
2/01/2015,-19.9,120.4,179.3946325
2/01/2015,-19.9,131.6,36.58616252
2/01/2015,-19.9,148.1,98.23591193
2/01/2015,-19.1,126.4,72.02089926
2/01/2015,-19.1,133.9,32.05584755
2/01/2015,-19.1,134.6,31.9549554
2/01/2015,-18.4,121.9,201.6387661
2/01/2015,-18.4,123.4,95.58719631
2/01/2015,-18.4,124.1,73.22353558
2/01/2015,-18.4,127.9,75.69292793
2/01/2015,-18.4,132.4,40.73419047
2/01/2015,-18.4,133.1,37.57286381
2/01/2015,-18.4,137.6,48.39479386
2/01/2015,-18.4,140.6,76.24948037
2/01/2015,-17.6,122.6,187.9035847
