datetime,latitude,longitude,value
1/01/2015,-43.1,146.6,5.525606494
1/01/2015,-42.4,147.4,4.096820884
1/01/2015,-41.6,147.4,3.116435138
1/01/2015,-40.9,145.9,3.344189731
1/01/2015,-40.1,145.1,4.618009272
1/01/2015,-38.6,142.9,6.897522231
1/01/2015,-37.9,145.1,2.53848073
1/01/2015,-37.1,139.9,4.640310017
1/01/2015,-37.1,142.1,2.828705362
1/01/2015,-36.4,142.9,3.07338263
1/01/2015,-35.6,144.4,3.327933376
1/01/2015,-34.9,148.1,2.730101523
1/01/2015,-34.1,138.4,3.400879848
1/01/2015,-34.1,150.4,2.32033052
1/01/2015,-33.4,151.1,4.448753021
1/01/2015,-32.6,150.4,1.79218967
1/01/2015,-31.9,115.9,4.459360259
1/01/2015,-31.1,115.1,6.973787021
1/01/2015,-30.4,121.1,4.255142752
1/01/2015,-30.4,122.6,4.43309295
1/01/2015,-29.6,123.4,4.607505258
1/01/2015,-28.9,149.6,3.414469711
1/01/2015,-28.1,121.1,4.578926441
1/01/2015,-27.4,141.4,5.147884805
1/01/2015,-27.4,151.1,3.149813957
1/01/2015,-27.4,153.4,5.061982564
1/01/2015,-26.6,121.1,6.552885102
1/01/2015,-25.9,112.9,10.39201518
1/01/2015,-25.9,128.6,1.997609571
1/01/2015,-25.9,151.1,3.074499346
1/01/2015,-25.1,151.9,2.763716076
1/01/2015,-25.1,152.6,3.20505014
1/01/2015,-24.4,122.6,5.378488881
1/01/2015,-24.4,125.6,2.997349032
1/01/2015,-24.4,136.9,2.936021913
1/01/2015,-23.6,148.1,3.629384115
1/01/2015,-22.9,113.6,6.950124873
1/01/2015,-22.9,114.4,6.235556144
1/01/2015,-22.9,124.9,3.819588034
1/01/2015,-22.9,149.6,3.752836918
1/01/2015,-22.1,119.6,3.351079341
1/01/2015,-22.1,147.4,4.571377034
1/01/2015,-22.1,148.9,4.060018377
1/01/2015,-21.4,115.9,5.510583917
1/01/2015,-21.4,117.4,2.668689592
1/01/2015,-21.4,118.9,2.995909888
1/01/2015,-21.4,130.1,5.188828772
